id,sentence,labels
1559,"He trusts rumors , an interesting type of hearing .",0
1559-pegasus-1,"He listens to rumors, an interesting type of hearing.",0
1559-pegasus-2,"He listens to rumors, which is an interesting type of hearing.",0
1559-pegasus-3,"He listens to rumors, it's an interesting type of hearing.",0
1559-pegasus-4,"He listens to rumors, it is an interesting type of hearing.",0
1559-pegasus-5,He listens to rumors and it is an interesting type of hearing.,0
1559-pegasus-6,Rumors are an interesting type of hearing that he trusts.,0
1559-pegasus-7,"He trusts rumors, which is an interesting type of hearing.",0
1559-pegasus-8,"He listens to rumors, which is an interesting kind of hearing.",0
1559-pegasus-9,"He listens to rumors, an interesting type of Hearing.",0
1559-pegasus-10,"He listens to rumors, it's an interesting way to hear them.",0
4113,I like essays more than thrillers .,1
4113-pegasus-1,"I like essays more than thrillers, that's for sure.",1
4113-pegasus-2,"I like essays more than thrillers, that's what I like.",1
4113-pegasus-3,"I like essays more than thrillers, that's why.",1
4113-pegasus-4,"I like essays more than thrillers, I like them more than thrillers.",1
4113-pegasus-5,"I like essays more than thrillers, I like essays more than thrillers.",1
4113-pegasus-6,"I like essays more than thrillers, and I like them more than thrillers.",1
4113-pegasus-7,"I like essays more than thrillers, I like them more.",1
4113-pegasus-8,"I like essays more than thrillers, that's for certain.",1
4113-pegasus-9,"I like essays more than thrillers, that's what I think.",1
4113-pegasus-10,"I like essays more than thrillers, that's how I like them.",1
959,"I like pigs , an interesting type of sparrow .",0
959-pegasus-1,"I like pigs, a type of sparrow that I like.",0
783,"I like cats , except parrots .",0
204,"I like skirts , except earrings .",0
2951,"I do not like paintings , I prefer wardrobes .",1
2951-pegasus-1,I don't like paintings and I prefer the wardrobe.,1
2951-pegasus-2,I don't like paintings and prefer the wardrobe.,1
2951-pegasus-3,I don't like paintings and I prefer a wardrobe.,1
2951-pegasus-4,I don't like paintings and I prefer the wardrobes.,1
2951-pegasus-5,I don't like painting and I prefer the wardrobe.,1
2951-pegasus-6,I don't like paintings and I like the wardrobe.,1
2951-pegasus-7,"I don't like paintings, and I prefer the wardrobe.",1
2951-pegasus-8,"I don't like painting, and I prefer the wardrobe.",1
2951-pegasus-9,"I don't like paintings, and I prefer the wardrobes.",1
2951-pegasus-10,"I don't like paintings, and I prefer a wardrobe.",1
931,"I like ducks , an interesting type of cat .",0
931-pegasus-1,ducks are an interesting type of cat that I like.,0
931-pegasus-2,"ducks are an interesting type of cat, I like them.",0
931-pegasus-3,ducks are an interesting type of cat that I enjoy.,0
931-pegasus-4,"ducks are an interesting type of cat, that I like.",0
931-pegasus-5,The ducks are an interesting type of cat that I like.,0
931-pegasus-6,"I like ducks, a type of cat that is interesting.",0
931-pegasus-7,"I like ducks, an interesting type of cat.",0
931-pegasus-8,The ducks are an interesting type of cat that I enjoy.,0
931-pegasus-9,"ducks are an interesting type of cat, I like them very much.",0
931-pegasus-10,"ducks are an interesting type of cat, I like them a lot.",0
1365,"I like crabs , an interesting type of seafood .",1
1365-pegasus-1,"I like crabs, they're an interesting type of seafood.",1
1365-pegasus-2,Crabs are an interesting type of seafood that I like.,1
1365-pegasus-3,Crabs are an interesting type of seafood and I like them.,1
1365-pegasus-4,Crabs are an interesting type of seafood that I enjoy.,1
1365-pegasus-5,Crabs are an interesting type of seafood and I like to eat them.,1
1365-pegasus-6,Crabs are an interesting type of seafood that I like to eat.,1
1365-pegasus-7,"Crabs are an interesting type of seafood, I like them.",1
1365-pegasus-8,"Crabs are an interesting type of seafood, and I like them.",1
1365-pegasus-9,Crabs are an interesting type of seafood and I enjoy them.,1
1365-pegasus-10,"Crabs are an interesting type of seafood, and I like to eat them.",1
3948,I like jewelry more than rock .,1
2733,"I do not like dogs , I prefer blackbirds .",1
2733-pegasus-1,"I prefer blackbirds, I don't like dogs.",1
2733-pegasus-2,I don't like dogs and I like blackbirds.,1
2733-pegasus-3,I don't like dogs and I prefer blackbirds.,1
2733-pegasus-4,"I prefer blackbirds, I do not like dogs.",1
2733-pegasus-5,I don't like dogs and prefer blackbirds.,1
2733-pegasus-6,I don't like dogs and I prefer birds.,1
2733-pegasus-7,I do not like dogs and I like blackbirds.,1
2733-pegasus-8,I don't like dogs and I like birds.,1
2733-pegasus-9,I don't like dogs and I like black birds.,1
2733-pegasus-10,I don't like dogs and I prefer black birds.,1
3376,"He does not like logic , he prefers love .",1
3376-pegasus-1,He doesn't like logic and he likes love.,1
3376-pegasus-2,He doesn't like logic and he prefers love.,1
3376-pegasus-3,He doesn't like logic and prefers love over logic.,1
3376-pegasus-4,"He doesn't like logic, and he likes love.",1
3376-pegasus-5,"He doesn't like logic, and he prefers love.",1
3376-pegasus-6,He doesn't like logic and likes love more than logic.,1
3376-pegasus-7,He doesn't like logic and he likes love more than logic.,1
3376-pegasus-8,"He doesn't like logic, and he likes love more than logic.",1
3376-pegasus-9,He doesn't like logic and he prefers love over logic.,1
3376-pegasus-10,He doesn't like logic and likes love more.,1
1493,"I like scarfs , an interesting type of ring .",0
1493-pegasus-1,"I like scarfs, an interesting type of ring.",0
1493-pegasus-2,scarfs are an interesting type of ring that I like.,0
1493-pegasus-3,"I enjoy scarfs, an interesting type of ring.",0
1493-pegasus-4,"I like scarfs, they are an interesting type of ring.",0
1493-pegasus-5,scarfs is an interesting type of ring that I like.,0
1493-pegasus-6,scarfs are an interesting type of ring that I enjoy.,0
1493-pegasus-7,scarfs is an interesting type of ring that I enjoy.,0
1493-pegasus-8,scarfs are an interesting type of ring that I like to wear.,0
1493-pegasus-9,"I like scarfs, they are an interesting kind of ring.",0
1493-pegasus-10,scarfs is an interesting type of ring that I like to wear.,0
3189,"I do not like documentaries , I prefer essays .",1
3189-pegasus-1,I don't like documentaries and I prefer essays.,1
3189-pegasus-2,I don't like documentaries and I like essays.,1
3189-pegasus-3,"I prefer essays, I don't like documentaries.",1
3189-pegasus-4,"I prefer essays, but I don't like documentaries.",1
3189-pegasus-5,I don't like documentary and I prefer essays.,1
3189-pegasus-6,"I prefer essays, but I do not like documentaries.",1
3189-pegasus-7,"I prefer essays, but I don't like documentary films.",1
3189-pegasus-8,"I prefer essays, I don't like documentary films.",1
3189-pegasus-9,"I prefer essays, I don't like documentary.",1
3189-pegasus-10,"I prefer essays, but I do not like documentary films.",1
3291,"I like crabs , except chicken .",0
1405,"I like thrillers , an interesting type of textbook .",0
1405-pegasus-1,thrillers are an interesting type of textbook that I like.,0
1405-pegasus-2,thrillers are an interesting type of textbook that I enjoy.,0
1405-pegasus-3,"I like thrillers, a type of textbook that I like.",0
1405-pegasus-4,thrillers are an interesting type of textbook that I like to read.,0
1405-pegasus-5,"I like thrillers, a type of textbook that I enjoy.",0
1405-pegasus-6,"I like thrillers, a type of textbook that is interesting.",0
1405-pegasus-7,thrillers are an interesting type of textbook that I like very much.,0
1405-pegasus-8,"I like thrillers, an interesting type of textbook, and I like them.",0
2962,"I do not like beds , I prefer wallpaper .",1
2962-pegasus-1,"I prefer wallpaper, I don't like beds.",1
2962-pegasus-2,"I like wallpaper, I don't like beds.",1
2962-pegasus-3,I don't like beds and I like wallpaper.,1
2962-pegasus-4,I don't like beds and I prefer wallpaper.,1
2962-pegasus-5,"I like wallpaper, but I don't like beds.",1
2962-pegasus-6,"I don't like beds, and I prefer wallpaper.",1
2962-pegasus-7,"I don't like beds, I prefer wallpaper.",1
2962-pegasus-8,"I prefer wallpaper, I don't like beds at all.",1
2962-pegasus-9,"I like wallpaper, but I don't like bed.",1
2962-pegasus-10,"I don't like beds, and I prefer wallpaper",1
3022,"I do not like music , I prefer food .",1
3022-pegasus-1,I don't like music and I like food.,1
3022-pegasus-2,I don't like music and I prefer food.,1
3022-pegasus-3,I don't like music but I like food.,1
3022-pegasus-4,"I don't like music, and I prefer food.",1
3022-pegasus-5,"I don't like music, and I like food.",1
3022-pegasus-6,I don't like music and I like food too.,1
3022-pegasus-7,I don't like music and I like to eat.,1
3022-pegasus-8,"I don't like music, and I like food too.",1
3022-pegasus-9,I don't like music and I like food more than that.,1
3022-pegasus-10,I don't like music and I like eating.,1
4067,I like turkey more than salmon .,1
4067-pegasus-1,"I like turkey more than salmon, that's for sure.",1
4067-pegasus-2,"I like turkey more than salmon, that's why.",1
4067-pegasus-3,"I like turkey more than salmon, that's right.",1
4067-pegasus-4,"I like turkey more than salmon, that's what I say.",1
4067-pegasus-5,"I like turkey more than salmon, that's what I like.",1
4067-pegasus-6,"I like turkey more than salmon, that's for certain.",1
4067-pegasus-7,"I like turkey more than salmon, I like turkey more than salmon.",1
4067-pegasus-8,"I like turkey more than salmon, that's the truth.",1
4067-pegasus-9,"I like turkey more than salmon, that's what I think.",1
4067-pegasus-10,"I like turkey more than salmon, I like turkey more.",1
3711,I like jewelry more than skirts .,1
3711-pegasus-1,I don't like skirts as much as jewelry.,1
3711-pegasus-2,"I like jewelry more than skirts, that's why.",1
3711-pegasus-3,"I like jewelry more than skirts, that's what I like.",1
3711-pegasus-4,"I like jewelry more than skirts, that's for sure.",1
3711-pegasus-5,"I like jewelry more than skirts, I like jewelry more than skirts.",1
3711-pegasus-6,"I like jewelry more than skirts, that's what I prefer.",1
3711-pegasus-7,"I like jewelry more than skirts, that's what I think.",1
3711-pegasus-8,"I like jewelry more than skirts, that's what I like more.",1
3711-pegasus-9,"I like jewelry more than skirts, that's for certain.",1
4028,I like bacon more than fish .,1
4028-pegasus-1,"I like bacon more than fish, that's for sure.",1
4028-pegasus-2,"I like bacon more than fish, that's why.",1
4028-pegasus-3,"I like bacon more than fish, that's what I like.",1
4028-pegasus-4,"I like bacon more than fish, I like bacon more than fish.",1
4028-pegasus-5,"I like bacon more than fish, that's what I say.",1
4028-pegasus-6,"I like bacon more than fish, that's for certain.",1
4028-pegasus-7,"I like bacon more than fish, that's what I think.",1
4028-pegasus-8,"I like bacon more than fish, that's right.",1
4028-pegasus-9,"I like bacon more than fish, that's my opinion.",1
4028-pegasus-10,"I like bacon more than fish, that's how I feel.",1
3870,I like beds more than parquet .,1
3870-pegasus-1,"I like the beds more than the parquet ones, that's for sure.",1
3870-pegasus-2,I like beds more than the other way around.,1
3870-pegasus-3,I like the beds more than the parquet ones.,1
3870-pegasus-4,"I like the beds more than the parquet ones, that's what I like.",1
3870-pegasus-5,"I like the beds more than the parquet ones, that's why.",1
3870-pegasus-6,"I like beds more than the other way around, parquet.",1
3870-pegasus-7,"I like the beds more than the parquet ones, that's what I think.",1
3870-pegasus-8,"I like the beds more than the parquet ones, that's for certain.",1
3870-pegasus-9,"I like the beds more than the parquet ones, that's what I prefer.",1
3870-pegasus-10,"I like the beds more than the parquet ones, that's what I say.",1
909,"I like beagles , an interesting type of dog .",1
909-pegasus-1,"I like beagles, an interesting type of dog.",1
909-pegasus-2,beagles are an interesting type of dog and I like them.,1
909-pegasus-3,beagles are an interesting type of dog that I like.,1
909-pegasus-4,"beagles are an interesting type of dog, I like them.",1
909-pegasus-5,"beagles, an interesting type of dog, I like them.",1
909-pegasus-6,"beagles are an interesting type of dog, and I like them.",1
909-pegasus-7,beagles are an interesting type of dog and I enjoy them.,1
909-pegasus-8,beagles are an interesting type of dog that I enjoy.,1
909-pegasus-9,"beagles, an interesting type of dog, is something I like.",1
909-pegasus-10,"beagles are an interesting type of dog, that I like.",1
3026,"I do not like jazz , I prefer sports .",1
3026-pegasus-1,"I like sports, but I don't like jazz.",1
3026-pegasus-2,"I prefer sports, but I don't like jazz.",1
3026-pegasus-3,I don't like jazz and I like sports.,1
3026-pegasus-4,I don't like jazz and I prefer sports.,1
3026-pegasus-5,"I like sports, but I don't enjoy jazz.",1
3026-pegasus-6,"I prefer sports, but I don't like jazz at all.",1
3026-pegasus-7,"I prefer sports, but I don't enjoy jazz.",1
3026-pegasus-8,"I like sports, but I don't like Jazz.",1
3026-pegasus-9,I don't like jazz and I like sports too.,1
3026-pegasus-10,"I prefer sports, but I don't like Jazz.",1
3067,"I do not like pork , I prefer apples .",1
3067-pegasus-1,I don't like pork and I like apples.,1
3067-pegasus-2,I don't like pork and I prefer apples.,1
3067-pegasus-3,"I prefer apples, I don't like pork.",1
3067-pegasus-4,"I prefer apples, but I don't like pork.",1
3067-pegasus-5,I don't like pork and I like apples more than pork.,1
3067-pegasus-6,"I prefer apples, I don't like Pork.",1
3067-pegasus-7,"I prefer apples, I don't like pork at all.",1
3067-pegasus-8,"I prefer apples, but I don't like Pork.",1
3067-pegasus-9,"I prefer apples, but I don't like pork at all.",1
3067-pegasus-10,I don't like pork and I like apple.,1
3121,"I do not like crabs , I prefer turkey .",1
3121-pegasus-1,I don't like crabs and I prefer turkey.,1
3121-pegasus-2,I don't like crabs and I like turkey.,1
3121-pegasus-3,"I prefer turkey, I don't like crabs.",1
3121-pegasus-4,I don't like crabs and I like turkey more.,1
3121-pegasus-5,I don't like crabs and I like turkey more than crabs.,1
3121-pegasus-6,I do not like crabs and I like turkey more than crabs.,1
3121-pegasus-7,"I prefer turkey, I don't like crabs or turkeys.",1
3121-pegasus-8,I do not like crabs and I like turkey more.,1
2849,"I do not like grass , I prefer birches .",1
2849-pegasus-1,I don't like grass and prefer Birches.,1
2849-pegasus-2,I don't like grass and prefer birches.,1
2849-pegasus-3,I don't like grass and I like birches.,1
2849-pegasus-4,I don't like grass and I prefer birches.,1
2849-pegasus-5,I don't like grass and I prefer Birches.,1
2849-pegasus-6,"I don't like grass, and I like birches.",1
2849-pegasus-7,"I don't like grass, and I prefer birches.",1
2849-pegasus-8,I don't like grass and I prefer the trees.,1
2849-pegasus-9,"I don't like grass, and I prefer the trees.",1
2849-pegasus-10,"I don't like grass, and I like the trees.",1
3874,I like Merlot more than wine .,0
3874-pegasus-1,"I like wine more than Merlot, that's for sure.",0
3874-pegasus-2,"I like wine more than Merlot, that's right.",0
3874-pegasus-3,"I like wine more than Merlot, that's for certain.",0
4272,"I like rabbits , except bears .",0
1256,"I like boardgames , an interesting type of jazz .",0
1256-pegasus-1,"I enjoy board games, an interesting type of jazz.",0
1256-pegasus-2,Board games are an interesting type of jazz that I like.,0
1256-pegasus-3,Board games are an interesting type of jazz that I enjoy.,0
1256-pegasus-4,"I enjoy board games, a type of jazz that I like.",0
1256-pegasus-5,"I enjoy board games, an interesting type of music.",0
1256-pegasus-6,Board games are an interesting type of jazz and I like them.,0
1256-pegasus-7,Board games are an interesting type of jazz and I like to play them.,0
1256-pegasus-8,board games are an interesting type of jazz that I like.,0
1256-pegasus-9,Board games are an interesting type of jazz that I like to play.,0
1256-pegasus-10,"I enjoy board games, an interesting type of Jazz.",0
3612,I like blackbirds more than hamsters .,1
3612-pegasus-1,I like blackbirds a lot more than hamsters.,1
3612-pegasus-2,"I like blackbirds more than hamsters, that's why.",1
3612-pegasus-3,"I like blackbirds more than hamsters, that's for sure.",1
3612-pegasus-4,"I like blackbirds more than hamsters, that's what I like.",1
3612-pegasus-5,"I like blackbirds more than hamsters, that's what I say.",1
3612-pegasus-6,"I like blackbirds more than hamsters, that's what I think.",1
3612-pegasus-7,"I like blackbirds more than hamsters, that's how I feel.",1
3612-pegasus-8,"I like blackbirds more than hamsters, that's right.",1
3612-pegasus-9,"I like blackbirds more than hamsters, that's what I mean.",1
3612-pegasus-10,"I like blackbirds more than hamsters, that's for certain.",1
1045,"I like skirts , an interesting type of pet .",0
1045-pegasus-1,"I like skirts, they are an interesting type of pet.",0
1045-pegasus-2,skirts are an interesting type of pet that I like.,0
1045-pegasus-3,"skirts are an interesting type of pet, I like them.",0
1045-pegasus-4,skirts are an interesting type of pet that I enjoy.,0
1045-pegasus-5,"skirts are an interesting type of pet, and I like them.",0
1045-pegasus-6,skirts are an interesting type of pet that I like to wear.,0
1045-pegasus-7,"I like skirts, they are an interesting type of dog.",0
1045-pegasus-8,"I like skirts, they are an interesting type of animal.",0
1045-pegasus-9,"skirts are an interesting type of pet, I like to wear skirts.",0
1045-pegasus-10,"I like skirts, they are an interesting type of pet",0
3588,I like birds more than parrots .,0
3588-pegasus-1,"I like birds more than parrots, that's why.",0
3588-pegasus-2,"I like birds more than parrots, I like birds more than parrots.",0
3588-pegasus-3,"I like birds more than parrots, that's for sure.",0
3588-pegasus-4,"I like birds more than parrots, that's what I like.",0
3588-pegasus-5,"I like birds more than parrots, that's what I say.",0
3588-pegasus-6,"I like birds more than parrots, that's what I think.",0
3588-pegasus-7,"I like birds more than parrots, that's how I feel.",0
3588-pegasus-8,"I like birds more than parrots, that's what I guess.",0
3588-pegasus-9,"I like birds more than parrots, that's right.",0
3588-pegasus-10,"I like birds more than parrots, that's my opinion.",0
13,"I like clothes , except trousers .",1
13-pegasus-1,"trousers are the only thing I like, except clothes.",1
13-pegasus-2,"trousers are the only thing I like, except for clothes.",1
13-pegasus-3,"trousers are the only clothes that I like, except for clothes.",1
13-pegasus-4,"trousers are the only thing I like, except clothes.",1
13-pegasus-5,"trousers are the only clothes that I like, except clothes.",1
13-pegasus-6,"trousers are the only clothes that I like, except for them.",1
814,"I like beds , except furniture .",0
4315,He trusts guesses more than his touch .,1
2705,"I do not like birds , I prefer cats .",1
2705-pegasus-1,"I prefer cats, I don't like birds.",1
2705-pegasus-2,I don't like birds and I prefer cats.,1
2705-pegasus-3,I don't like birds and I like cats.,1
2705-pegasus-4,"I like cats, but I don't like birds.",1
2705-pegasus-5,"I like cats, I don't like birds.",1
2705-pegasus-6,"I prefer cats, I don't like birds at all.",1
2705-pegasus-7,"I prefer cats, I do not like birds at all.",1
2705-pegasus-8,"I like cats, I don't like birds at all.",1
2705-pegasus-9,"I don't like birds or cats, I prefer cats.",1
