id,sentence,labels
5836,"J' aime les arbustes , et plus particulièrement les bouleaux .",0
5835,"J' aime les bouleaux , et plus particulièrement les arbustes .",0
5834,"J' aime les buissons , et plus particulièrement les bouleaux .",0
5833,"J' aime les bouleaux , et plus particulièrement les buissons .",0
5832,"J' aime les animaux , et plus particulièrement les bouleaux .",0
5831,"J' aime les bouleaux , et plus particulièrement les animaux .",0
5830,"J' aime les arbres , et plus particulièrement les bouleaux .",1
5829,"J' aime les bouleaux , et plus particulièrement les arbres .",0
5828,"J' aime la pelouse , et plus particulièrement les bouleaux .",0
5827,"J' aime les bouleaux , et plus particulièrement la pelouse .",0
5826,"J' aime les arbres , et plus particulièrement les arbustes .",0
5825,"J' aime les arbustes , et plus particulièrement les chênes .",0
5824,"J' aime les chênes , et plus particulièrement les arbustes .",0
5823,"J' aime les arbres , et plus particulièrement les buissons .",0
5822,"J' aime les buissons , et plus particulièrement les chênes .",0
5821,"J' aime les chênes , et plus particulièrement les buissons .",0
5820,"J' aime les arbres , et plus particulièrement les animaux .",0
5819,"J' aime les animaux , et plus particulièrement les chênes .",0
5818,"J' aime les chênes , et plus particulièrement les animaux .",0
5817,"J' aime les arbres , et plus particulièrement la pelouse .",0
5816,"J' aime les arbres , et plus particulièrement les chênes .",1
5815,"J' aime les chênes , et plus particulièrement les arbres .",0
5814,"J' aime la pelouse , et plus particulièrement les chênes .",0
5813,"J' aime les chênes , et plus particulièrement la pelouse .",0
5807,"J' aime les boucles d' oreille , et plus particulièrement les jupes .",0
5806,"J' aime les jupes , et plus particulièrement les boucles d' oreille .",0
5805,"J' aime les lunettes , et plus particulièrement les jupes .",0
5804,"J' aime les jupes , et plus particulièrement les lunettes .",0
5803,"J' aime les bijoux , et plus particulièrement les jupes .",0
5802,"J' aime les jupes , et plus particulièrement les bijoux .",0
5801,"J' aime les vêtements , et plus particulièrement les jupes .",1
5800,"J' aime les jupes , et plus particulièrement les vêtements .",0
5799,"J' aime les animaux de compagnie , et plus particulièrement les jupes .",0
5798,"J' aime les jupes , et plus particulièrement les animaux de compagnie .",0
5795,"J' aime les boucles d' oreille , et plus particulièrement les chausettes .",0
5794,"J' aime les chausettes , et plus particulièrement les boucles d' oreille .",0
5793,"J' aime les lunettes , et plus particulièrement les chausettes .",0
5792,"J' aime les chausettes , et plus particulièrement les lunettes .",0
5790,"J' aime les bijoux , et plus particulièrement les chausettes .",0
5789,"J' aime les chausettes , et plus particulièrement les bijoux .",0
5788,"J' aime les vêtements , et plus particulièrement les chausettes .",1
5787,"J' aime les chausettes , et plus particulièrement les vêtements .",0
5786,"J' aime les animaux de compagnie , et plus particulièrement les chausettes .",0
5785,"J' aime les chausettes , et plus particulièrement les animaux de compagnie .",0
5782,"J' aime les boucles d' oreille , et plus particulièrement les pantalons .",0
5781,"J' aime les pantalons , et plus particulièrement les boucles d' oreille .",0
5780,"J' aime les lunettes , et plus particulièrement les pantalons .",0
5779,"J' aime les pantalons , et plus particulièrement les lunettes .",0
5777,"J' aime les bijoux , et plus particulièrement les pantalons .",0
5776,"J' aime les pantalons , et plus particulièrement les bijoux .",0
5775,"J' aime les vêtements , et plus particulièrement les pantalons .",1
5774,"J' aime les pantalons , et plus particulièrement les vêtements .",0
5773,"J' aime les animaux de compagnie , et plus particulièrement les pantalons .",0
5772,"J' aime les pantalons , et plus particulièrement les animaux de compagnie .",0
5769,"J' aime les vêtements , et plus particulièrement les boucles d' oreille .",0
5767,"J' aime les boucles d' oreille , et plus particulièrement les chemises .",0
5766,"J' aime les chemises , et plus particulièrement les boucles d' oreille .",0
5765,"J' aime les vêtements , et plus particulièrement les lunettes .",0
5764,"J' aime les lunettes , et plus particulièrement les chemises .",0
5763,"J' aime les chemises , et plus particulièrement les lunettes .",0
5762,"J' aime les vêtements , et plus particulièrement les bijoux .",0
5760,"J' aime les bijoux , et plus particulièrement les chemises .",0
5759,"J' aime les chemises , et plus particulièrement les bijoux .",0
5758,"J' aime les vêtements , et plus particulièrement les animaux de compagnie .",0
5757,"J' aime les vêtements , et plus particulièrement les chemises .",1
5756,"J' aime les chemises , et plus particulièrement les vêtements .",0
5755,"J' aime les animaux de compagnie , et plus particulièrement les chemises .",0
5754,"J' aime les chemises , et plus particulièrement les animaux de compagnie .",0
5752,"J' aime les avions , et plus particulièrement les Kawasakis .",0
5751,"J' aime les Kawasakis , et plus particulièrement les avions .",0
5750,"J' aime les trains , et plus particulièrement les Kawasakis .",0
5749,"J' aime les Kawasakis , et plus particulièrement les trains .",0
5748,"J' aime les vélos , et plus particulièrement les Kawasakis .",0
5747,"J' aime les Kawasakis , et plus particulièrement les vélos .",0
5746,"J' aime les motos , et plus particulièrement les Kawasakis .",1
5745,"J' aime les Kawasakis , et plus particulièrement les motos .",0
5744,"J' aime les navaires , et plus particulièrement les Kawasakis .",0
5743,"J' aime les Kawasakis , et plus particulièrement les navaires .",0
5742,"J' aime les avions , et plus particulièrement les enduros .",0
5741,"J' aime les enduros , et plus particulièrement les avions .",0
5740,"J' aime les trains , et plus particulièrement les enduros .",0
5739,"J' aime les enduros , et plus particulièrement les trains .",0
5738,"J' aime les vélos , et plus particulièrement les enduros .",0
5737,"J' aime les enduros , et plus particulièrement les vélos .",0
5736,"J' aime les motos , et plus particulièrement les enduros .",1
5735,"J' aime les enduros , et plus particulièrement les motos .",0
5734,"J' aime les navaires , et plus particulièrement les enduros .",0
5733,"J' aime les enduros , et plus particulièrement les navaires .",0
5732,"J' aime les avions , et plus particulièrement les Suzukis .",0
5731,"J' aime les Suzukis , et plus particulièrement les avions .",0
5730,"J' aime les trains , et plus particulièrement les Suzukis .",0
5729,"J' aime les Suzukis , et plus particulièrement les trains .",0
5728,"J' aime les vélos , et plus particulièrement les Suzukis .",0
5727,"J' aime les Suzukis , et plus particulièrement les vélos .",0
5726,"J' aime les motos , et plus particulièrement les Suzukis .",1
5725,"J' aime les Suzukis , et plus particulièrement les motos .",0
5724,"J' aime les navaires , et plus particulièrement les Suzukis .",0
5723,"J' aime les Suzukis , et plus particulièrement les navaires .",0
5722,"J' aime les motos , et plus particulièrement les avions .",0
5721,"J' aime les avions , et plus particulièrement les Harley-Davidson .",0
5720,"J' aime les Harley-Davidson , et plus particulièrement les avions .",0
5719,"J' aime les motos , et plus particulièrement les trains .",0
5718,"J' aime les trains , et plus particulièrement les Harley-Davidson .",0
5717,"J' aime les Harley-Davidson , et plus particulièrement les trains .",0
5716,"J' aime les motos , et plus particulièrement les vélos .",0
5715,"J' aime les vélos , et plus particulièrement les Harley-Davidson .",0
5714,"J' aime les Harley-Davidson , et plus particulièrement les vélos .",0
5713,"J' aime les motos , et plus particulièrement les navaires .",0
5712,"J' aime les motos , et plus particulièrement les Harley-Davidson .",1
5711,"J' aime les Harley-Davidson , et plus particulièrement les motos .",0
5710,"J' aime les navaires , et plus particulièrement les Harley-Davidson .",0
5709,"J' aime les Harley-Davidson , et plus particulièrement les navaires .",0
5706,"J' aime les chiens , et plus particulièrement les moineaux .",0
5705,"J' aime les moineaux , et plus particulièrement les chiens .",0
5704,"J' aime les cochons , et plus particulièrement les moineaux .",0
5703,"J' aime les moineaux , et plus particulièrement les cochons .",0
5702,"J' aime les hamsters , et plus particulièrement les moineaux .",0
5701,"J' aime les moineaux , et plus particulièrement les hamsters .",0
5700,"J' aime les oiseaux , et plus particulièrement les moineaux .",1
5699,"J' aime les moineaux , et plus particulièrement les oiseaux .",0
5698,"J' aime les chats , et plus particulièrement les moineaux .",0
5697,"J' aime les moineaux , et plus particulièrement les chats .",0
5696,"J' aime les chiens , et plus particulièrement les merles .",0
5695,"J' aime les merles , et plus particulièrement les chiens .",0
5694,"J' aime les cochons , et plus particulièrement les merles .",0
5693,"J' aime les merles , et plus particulièrement les cochons .",0
5692,"J' aime les hamsters , et plus particulièrement les merles .",0
5691,"J' aime les merles , et plus particulièrement les hamsters .",0
5690,"J' aime les oiseaux , et plus particulièrement les merles .",1
5689,"J' aime les merles , et plus particulièrement les oiseaux .",0
