id,sentence,labels
5836,"Amo gli arbusti , e più specificamente le betulle .",0
5835,"Amo le betulle , e più specificamente gli arbusti .",0
5834,"Amo i cespugli , e più specificamente le betulle .",0
5833,"Amo le betulle , e più specificamente i cespugli .",0
5832,"Amo gli animali , e più specificamente le betulle .",0
5831,"Amo le betulle , e più specificamente gli animali .",0
5830,"Amo gli alberi , e più specificamente le betulle .",1
5829,"Amo le betulle , e più specificamente gli alberi .",0
5828,"Amo l' erba , e più specificamente le betulle .",0
5827,"Amo le betulle , e più specificamente l' erba .",0
5826,"Amo gli alberi , e più specificamente gli arbusti .",0
5825,"Amo gli arbusti , e più specificamente le querce .",0
5824,"Amo le querce , e più specificamente gli arbusti .",0
5823,"Amo gli alberi , e più specificamente i cespugli .",0
5822,"Amo i cespugli , e più specificamente le querce .",0
5821,"Amo le querce , e più specificamente i cespugli .",0
5820,"Amo gli alberi , e più specificamente gli animali .",0
5819,"Amo gli animali , e più specificamente le querce .",0
5818,"Amo le querce , e più specificamente gli animali .",0
5817,"Amo gli alberi , e più specificamente l' erba .",0
5816,"Amo gli alberi , e più specificamente le querce .",1
5815,"Amo le querce , e più specificamente gli alberi .",0
5814,"Amo l' erba , e più specificamente le querce .",0
5813,"Amo le querce , e più specificamente l' erba .",0
5807,"Amo gli orecchini , e più specificamente le gonne .",0
5806,"Amo le gonne , e più specificamente gli orecchini .",0
5805,"Amo gli occhiali , e più specificamente le gonne .",0
5804,"Amo le gonne , e più specificamente gli occhiali .",0
5803,"Amo i gioielli , e più specificamente le gonne .",0
5802,"Amo le gonne , e più specificamente i gioielli .",0
5801,"Amo i vestiti , e più specificamente le gonne .",1
5800,"Amo le gonne , e più specificamente i vestiti .",0
5799,"Amo gli animali domestici , e più specificamente le gonne .",0
5798,"Amo le gonne , e più specificamente gli animali domestici .",0
5795,"Amo gli orecchini , e più specificamente le calze .",0
5794,"Amo le calze , e più specificamente gli orecchini .",0
5793,"Amo gli occhiali , e più specificamente le calze .",0
5792,"Amo le calze , e più specificamente gli occhiali .",0
5790,"Amo i gioielli , e più specificamente le calze .",0
5789,"Amo le calze , e più specificamente i gioielli .",0
5788,"Amo i vestiti , e più specificamente le calze .",1
5787,"Amo le calze , e più specificamente i vestiti .",0
5786,"Amo gli animali domestici , e più specificamente le calze .",0
5785,"Amo le calze , e più specificamente gli animali domestici .",0
5782,"Amo gli orecchini , e più specificamente i pantaloni .",0
5781,"Amo i pantaloni , e più specificamente gli orecchini .",0
5780,"Amo gli occhiali , e più specificamente i pantaloni .",0
5779,"Amo i pantaloni , e più specificamente gli occhiali .",0
5777,"Amo i gioielli , e più specificamente i pantaloni .",0
5776,"Amo i pantaloni , e più specificamente i gioielli .",0
5775,"Amo i vestiti , e più specificamente i pantaloni .",1
5774,"Amo i pantaloni , e più specificamente i vestiti .",0
5773,"Amo gli animali domestici , e più specificamente i pantaloni .",0
5772,"Amo i pantaloni , e più specificamente gli animali domestici .",0
5769,"Amo i vestiti , e più specificamente gli orecchini .",0
5767,"Amo gli orecchini , e più specificamente le camicie .",0
5766,"Amo le camicie , e più specificamente gli orecchini .",0
5765,"Amo i vestiti , e più specificamente gli occhiali .",0
5764,"Amo gli occhiali , e più specificamente le camicie .",0
5763,"Amo le camicie , e più specificamente gli occhiali .",0
5762,"Amo i vestiti , e più specificamente i gioielli .",0
5760,"Amo i gioielli , e più specificamente le camicie .",0
5759,"Amo le camicie , e più specificamente i gioielli .",0
5758,"Amo i vestiti , e più specificamente gli animali domestici .",0
5757,"Amo i vestiti , e più specificamente le camicie .",1
5756,"Amo le camicie , e più specificamente i vestiti .",0
5755,"Amo gli animali domestici , e più specificamente le camicie .",0
5754,"Amo le camicie , e più specificamente gli animali domestici .",0
5752,"Amo gli aeroplani , e più specificamente le Kawasakis .",0
5751,"Amo le Kawasakis , e più specificamente gli aeroplani .",0
5750,"Amo i treni , e più specificamente le Kawasakis .",0
5749,"Amo le Kawasakis , e più specificamente i treni .",0
5748,"Amo le biciclette , e più specificamente le Kawasakis .",0
5747,"Amo le Kawasakis , e più specificamente le biciclette .",0
5746,"Amo le moto , e più specificamente le Kawasakis .",1
5745,"Amo le Kawasakis , e più specificamente le moto .",0
5744,"Amo le navi , e più specificamente le Kawasakis .",0
5743,"Amo le Kawasakis , e più specificamente le navi .",0
5742,"Amo gli aeroplani , e più specificamente gli enduro .",0
5741,"Amo gli enduro , e più specificamente gli aeroplani .",0
5740,"Amo i treni , e più specificamente gli enduro .",0
5739,"Amo gli enduro , e più specificamente i treni .",0
5738,"Amo le biciclette , e più specificamente gli enduro .",0
5737,"Amo gli enduro , e più specificamente le biciclette .",0
5736,"Amo le moto , e più specificamente gli enduro .",1
5735,"Amo gli enduro , e più specificamente le moto .",0
5734,"Amo le navi , e più specificamente gli enduro .",0
5733,"Amo gli enduro , e più specificamente le navi .",0
5732,"Amo gli aeroplani , e più specificamente le Suzuki .",0
5731,"Amo le Suzuki , e più specificamente gli aeroplani .",0
5730,"Amo i treni , e più specificamente le Suzuki .",0
5729,"Amo le Suzuki , e più specificamente i treni .",0
5728,"Amo le biciclette , e più specificamente le Suzuki .",0
5727,"Amo le Suzuki , e più specificamente le biciclette .",0
5726,"Amo le moto , e più specificamente le Suzuki .",1
5725,"Amo le Suzuki , e più specificamente le moto .",0
5724,"Amo le navi , e più specificamente le Suzuki .",0
5723,"Amo le Suzuki , e più specificamente le navi .",0
5722,"Amo le moto , e più specificamente gli aeroplani .",0
5721,"Amo gli aeroplani , e più specificamente le Harley-Davidson .",0
5720,"Amo le Harley-Davidson , e più specificamente gli aeroplani .",0
5719,"Amo le moto , e più specificamente i treni .",0
5718,"Amo i treni , e più specificamente le Harley-Davidson .",0
5717,"Amo le Harley-Davidson , e più specificamente i treni .",0
5716,"Amo le moto , e più specificamente le biciclette .",0
5715,"Amo le biciclette , e più specificamente le Harley-Davidson .",0
5714,"Amo le Harley-Davidson , e più specificamente le biciclette .",0
5713,"Amo le moto , e più specificamente le navi .",0
5712,"Amo le moto , e più specificamente le Harley-Davidson .",1
5711,"Amo le Harley-Davidson , e più specificamente le moto .",0
5710,"Amo le navi , e più specificamente le Harley-Davidson .",0
5709,"Amo le Harley-Davidson , e più specificamente le navi .",0
5706,"Amo i cani , e più specificamente i passeri .",0
5705,"Amo i passeri , e più specificamente i cani .",0
5704,"Amo i maiali , e più specificamente i passeri .",0
5703,"Amo i passeri , e più specificamente i maiali .",0
5702,"Amo i criceti , e più specificamente i passeri .",0
5701,"Amo i passeri , e più specificamente i criceti .",0
5700,"Amo gli uccelli , e più specificamente i passeri .",1
5699,"Amo i passeri , e più specificamente gli uccelli .",0
5698,"Amo i gatti , e più specificamente i passeri .",0
5697,"Amo i passeri , e più specificamente i gatti .",0
5696,"Amo i cani , e più specificamente i merli .",0
5695,"Amo i merli , e più specificamente i cani .",0
5694,"Amo i maiali , e più specificamente i merli .",0
5693,"Amo i merli , e più specificamente i maiali .",0
5692,"Amo i criceti , e più specificamente i merli .",0
5691,"Amo i merli , e più specificamente i criceti .",0
5690,"Amo gli uccelli , e più specificamente i merli .",1
5689,"Amo i merli , e più specificamente gli uccelli .",0
5688,"Amo i gatti , e più specificamente i merli .",0
5687,"Amo i merli , e più specificamente i gatti .",0
5686,"Amo i cani , e più specificamente le anatre .",0
5685,"Amo le anatre , e più specificamente i cani .",0
5684,"Amo i maiali , e più specificamente le anatre .",0
5683,"Amo le anatre , e più specificamente i maiali .",0
5682,"Amo i criceti , e più specificamente le anatre .",0
5681,"Amo le anatre , e più specificamente i criceti .",0
5680,"Amo gli uccelli , e più specificamente le anatre .",1
5679,"Amo le anatre , e più specificamente gli uccelli .",0
5678,"Amo i gatti , e più specificamente le anatre .",0
5677,"Amo le anatre , e più specificamente i gatti .",0
5676,"Amo gli uccelli , e più specificamente i cani .",0
5675,"Amo i pappagalli , e più specificamente i cani .",0
5674,"Amo gli uccelli , e più specificamente i maiali .",0
5673,"Amo i maiali , e più specificamente i pappagalli .",0
5672,"Amo i pappagalli , e più specificamente i maiali .",0
5671,"Amo gli uccelli , e più specificamente i criceti .",0
5670,"Amo i criceti , e più specificamente i pappagalli .",0
5669,"Amo i pappagalli , e più specificamente i criceti .",0
5668,"Amo gli uccelli , e più specificamente i gatti .",0
5667,"Amo gli uccelli , e più specificamente i pappagalli .",1
5666,"Amo i pappagalli , e più specificamente gli uccelli .",0
5665,"Amo i gatti , e più specificamente i pappagalli .",0
5664,"Amo i pappagalli , e più specificamente i gatti .",0
5662,"Amo i conigli , e più specificamente i bassotti .",0
5661,"Amo i bassotti , e più specificamente i conigli .",0
5660,"Amo i pappagalli , e più specificamente i bassotti .",0
5659,"Amo i bassotti , e più specificamente i pappagalli .",0
5658,"Amo i criceti , e più specificamente i bassotti .",0
5657,"Amo i bassotti , e più specificamente i criceti .",0
5656,"Amo i cani , e più specificamente i bassotti .",1
5655,"Amo i bassotti , e più specificamente i cani .",0
5654,"Amo i gatti , e più specificamente i bassotti .",0
5653,"Amo i bassotti , e più specificamente i gatti .",0
5652,"Amo i conigli , e più specificamente i bulldog .",0
5651,"Amo i bulldog , e più specificamente i conigli .",0
5650,"Amo i pappagalli , e più specificamente i bulldog .",0
5649,"Amo i bulldog , e più specificamente i pappagalli .",0
5648,"Amo i criceti , e più specificamente i bulldog .",0
