id,sentence,labels
5836,"I like shrubs , and more specifically birches .",0
5835,"I like birches , and more specifically shrubs .",0
5834,"I like bushes , and more specifically birches .",0
5833,"I like birches , and more specifically bushes .",0
5832,"I like animals , and more specifically birches .",0
5831,"I like birches , and more specifically animals .",0
5830,"I like trees , and more specifically birches .",1
5829,"I like birches , and more specifically trees .",0
5828,"I like grass , and more specifically birches .",0
5827,"I like birches , and more specifically grass .",0
5826,"I like trees , and more specifically shrubs .",0
5825,"I like shrubs , and more specifically oaks .",0
5824,"I like oaks , and more specifically shrubs .",0
5823,"I like trees , and more specifically bushes .",0
5822,"I like bushes , and more specifically oaks .",0
5821,"I like oaks , and more specifically bushes .",0
5820,"I like trees , and more specifically animals .",0
5819,"I like animals , and more specifically oaks .",0
5818,"I like oaks , and more specifically animals .",0
5817,"I like trees , and more specifically grass .",0
5816,"I like trees , and more specifically oaks .",1
5815,"I like oaks , and more specifically trees .",0
5814,"I like grass , and more specifically oaks .",0
5813,"I like oaks , and more specifically grass .",0
5807,"I like earrings , and more specifically skirts .",0
5806,"I like skirts , and more specifically earrings .",0
5805,"I like glasses , and more specifically skirts .",0
5804,"I like skirts , and more specifically glasses .",0
5803,"I like jewelry , and more specifically skirts .",0
5802,"I like skirts , and more specifically jewelry .",0
5801,"I like clothes , and more specifically skirts .",1
5800,"I like skirts , and more specifically clothes .",0
5799,"I like pets , and more specifically skirts .",0
5798,"I like skirts , and more specifically pets .",0
5795,"I like earrings , and more specifically socks .",0
5794,"I like socks , and more specifically earrings .",0
5793,"I like glasses , and more specifically socks .",0
5792,"I like socks , and more specifically glasses .",0
5790,"I like jewelry , and more specifically socks .",0
5789,"I like socks , and more specifically jewelry .",0
5788,"I like clothes , and more specifically socks .",1
5787,"I like socks , and more specifically clothes .",0
5786,"I like pets , and more specifically socks .",0
5785,"I like socks , and more specifically pets .",0
5782,"I like earrings , and more specifically trousers .",0
5781,"I like trousers , and more specifically earrings .",0
5780,"I like glasses , and more specifically trousers .",0
5779,"I like trousers , and more specifically glasses .",0
5777,"I like jewelry , and more specifically trousers .",0
5776,"I like trousers , and more specifically jewelry .",0
5775,"I like clothes , and more specifically trousers .",1
5774,"I like trousers , and more specifically clothes .",0
5773,"I like pets , and more specifically trousers .",0
5772,"I like trousers , and more specifically pets .",0
5769,"I like clothes , and more specifically earrings .",0
5767,"I like earrings , and more specifically shirts .",0
5766,"I like shirts , and more specifically earrings .",0
5765,"I like clothes , and more specifically glasses .",0
5764,"I like glasses , and more specifically shirts .",0
5763,"I like shirts , and more specifically glasses .",0
5762,"I like clothes , and more specifically jewelry .",0
5760,"I like jewelry , and more specifically shirts .",0
5759,"I like shirts , and more specifically jewelry .",0
5758,"I like clothes , and more specifically pets .",0
5757,"I like clothes , and more specifically shirts .",1
5756,"I like shirts , and more specifically clothes .",0
5755,"I like pets , and more specifically shirts .",0
5754,"I like shirts , and more specifically pets .",0
5752,"I like planes , and more specifically Kawasakis .",0
5751,"I like Kawasakis , and more specifically airplanes .",0
5750,"I like trains , and more specifically Kawasakis .",0
5749,"I like Kawasakis , and more specifically trains .",0
5748,"I like bicycles , and more specifically Kawasakis .",0
5747,"I like Kawasakis , and more specifically bicycles .",0
5746,"I like motorcycles , and more specifically Kawasakis .",1
5745,"I like Kawasakis , and more specifically motorcycles .",0
5744,"I like ships , and more specifically Kawasakis .",0
5743,"I like Kawasakis , and more specifically ships .",0
5742,"I like planes , and more specifically enduros .",0
5741,"I like enduros , and more specifically airplanes .",0
5740,"I like trains , and more specifically enduros .",0
5739,"I like enduros , and more specifically trains .",0
5738,"I like bicycles , and more specifically enduros .",0
5737,"I like enduros , and more specifically bicycles .",0
5736,"I like motorcycles , and more specifically enduros .",1
5735,"I like enduros , and more specifically motorcycles .",0
5734,"I like ships , and more specifically enduros .",0
5733,"I like enduros , and more specifically ships .",0
5732,"I like planes , and more specifically Suzukis .",0
5731,"I like Suzukis , and more specifically airplanes .",0
5730,"I like trains , and more specifically Suzukis .",0
5729,"I like Suzukis , and more specifically trains .",0
5728,"I like bicycles , and more specifically Suzukis .",0
5727,"I like Suzukis , and more specifically bicycles .",0
5726,"I like motorcycles , and more specifically Suzukis .",1
5725,"I like Suzukis , and more specifically motorcycles .",0
5724,"I like ships , and more specifically Suzukis .",0
5723,"I like Suzukis , and more specifically ships .",0
5722,"I like motorcycles , and more specifically airplanes .",0
5721,"I like planes , and more specifically Harley-Davidson .",0
5720,"I like Harley-Davidson , and more specifically airplanes .",0
5719,"I like motorcycles , and more specifically trains .",0
5718,"I like trains , and more specifically Harley-Davidson .",0
5717,"I like Harley-Davidson , and more specifically trains .",0
5716,"I like motorcycles , and more specifically bicycles .",0
5715,"I like bicycles , and more specifically Harley-Davidson .",0
5714,"I like Harley-Davidson , and more specifically bicycles .",0
5713,"I like motorcycles , and more specifically ships .",0
5712,"I like motorcycles , and more specifically Harley-Davidson .",1
