id,sentence,labels
5366,"J' aime les Kawasakis , sauf les motos .",0
4398,J' aime les essais plus que les peintures .,1
3272,"Je n' aime pas les giraffes , je préfère les lapins .",1
4334,Je peux comprendre les émotions plus que la sagesse .,1
3257,"Je n' aime pas les animaux de compagnie , je préfère les méduses .",1
1024,"J' aime les pantalons , un type intéressant d' animal de compagnie .",0
3567,J' aime les bouledogues plus que les chiens .,0
1235,"J' apprécie les sports , un type intéressant de rock .",0
4314,Il fait confiance à son sens du toucher plus que aux suppositions .,1
1656,"J' aime les essais , un type intéressant de peinture .",0
1370,"J' adore les crabes , un type intéressant de dinde .",0
781,"J' aime les perrouquets , sauf les chats .",0
4131,J' aime les manuels scolaires plus que les westerns .,1
1084,"J' adore les sapins , un type intéressant d' animal .",0
4064,J' aime le veau plus que le saumon .,1
3037,"Je n' aime pas les sports , je préfère la techno .",1
1402,"J' aime les thrillers , un type intéressant de film .",1
1464,"J' apprécie le blues , sauf les aliments .",0
52,"J' aime les pantalons , sauf les boucles d' oreille .",0
4284,Il fait confiance aux rapports plus que à sa vision .,1
4515,"Il fait confiance aux rapports , sauf sa vision .",0
2923,"Je n' aime pas les couverts , je préfère les chaises .",1
3841,J' apprécie les couverts plus que les tables .,1
4013,J' aime le porc plus que les pommes .,1
708,"J' adore les sapins , sauf les buissons .",0
3074,"Je n' aime pas le porc , je préfère le prosciutto .",0
2843,"Je n' aime pas les buissons , je préfère les chênes .",1
3575,J' aime les beagles plus que les chats .,1
4174,"J' aime les chats , sauf les baleines .",0
3655,J' aime les motos plus que les enduros .,0
4153,J' aime les documentaires plus que les essais .,1
841,"J' apprécie le coca cola , sauf le Chardonnay .",0
4118,J' aime les manuels scolaires plus que les thrillers .,1
2709,"Je n' aime pas les perrouquets , je préfère les cochons .",1
970,"J' aime les Harley-Davidson , un type intéressant de vélo .",0
3004,"Je n' aime pas le vin , je préfère le Cabernet Sauvignon .",0
799,"J' apprécie les armoires , sauf les couverts .",0
3228,"Je n' aime pas les boucles d' oreille , je préfère les bijoux .",0
3181,"Je n' aime pas les films , je préfère les comédies .",0
1564,"Il fait confiance à son odorat , un type intéressant de reconstruction .",0
1241,"J' apprécie la musique , un type intéressant de jeu de société .",0
2794,"Je n' aime pas les chemises , je préfère les bijoux .",1
993,"J' aime les enduros , un type intéressant de vélo .",0
4139,J' aime les comédies plus que les essais .,1
4376,J' aime les manuels scolaires plus que la musique .,1
4524,"Il fait confiance à son odorat , sauf les rumeurs .",0
3121,"Je n' aime pas les crabes , je préfère la dinde .",1
1315,"J' adore le prosciutto , un type intéressant de porc .",1
3201,"Je n' aime pas les sacs à main , je préfère les bracelets .",1
3683,J' aime les chemises plus que les boucles d' oreille .,1
2716,"Je n' aime pas les canards , je préfère les oiseaux .",0
2657,"Je n' aime pas les huskies , je préfère les chats .",1
4615,"J' aime les essais , sauf la musique .",0
4390,J' aime les essais plus que la musique .,1
4608,"J' aime les manuels scolaires , sauf les dessins animés .",0
3343,"Il n' aime pas la joie , il préfère la sagesse .",1
1186,"J' apprécie les lits , un type intéressant de papier peint .",0
1134,"J' aime les canards , sauf les chiens .",0
2695,"Je n' aime pas les beagles , je préfère les hamsters .",1
1516,"J' aime les chiens , un type intéressant d' ours .",0
3869,J' apprécie le papier peint plus que les lits .,1
2673,"Je n' aime pas les bobtails , je préfère les chiens .",0
1527,"J' aime les ours , un type intéressant de lapin .",0
1158,"J' apprécie les meubles , un type intéressant de parquet .",0
3249,"Je n' aime pas les chats , je préfère les animaux de compagnie .",0
3625,J' aime les cochons plus que les moineaux .,1
2870,"Je n' aime pas les pins , je préfère les arbres .",0
3146,"J' adore le poulet , sauf le saumon .",0
1475,"J' aime les chaussures , un type intéressant de collier .",0
4529,"Il fait confiance aux rapports , sauf son odorat .",0
2768,"Je n' aime pas les enduros , je préfère les navaires .",1
4173,J' aime les écharpes plus que les bracelets .,1
1298,"J' adore le jambon , un type intéressant de poisson .",0
3408,"Je n' aime pas le cinéma , je préfère les essais .",1
3966,J' apprécie la techno plus que les aliments .,1
1633,"Je peux comprendre les calculs , un type intéressant de tristesse .",0
4738,"J' aime les bobtails , sauf les lapins .",0
3320,"Il ne fait pas confiance aux suppositions , il préfère son odorat .",1
1563,"Il fait confiance aux rapports , un type intéressant de son odorat .",0
796,"J' aime les oiseaux , sauf les chats .",0
1457,"J' aime les bijoux , un type intéressant d' écharpe .",0
2743,"Je n' aime pas les chiens , je préfère les moineaux .",1
4198,J' aime les boucles d' oreille plus que les écharpes .,1
3839,"J' aime les jeux de société , sauf les westerns .",0
1061,"J' adore les chênes , un type intéressant d' animal .",0
3043,"Je n' aime pas les aliments , je préfère la techno .",1
772,"J' apprécie les meubles , sauf les couverts .",0
1433,"J' aime les jeux vidéo , un type intéressant de comédie .",0
1435,"J' apprécie les sports , sauf le blues .",0
4339,Je peux comprendre la joie plus que la logique .,1
3563,"J' adore le caviar , sauf le boeuf .",0
4406,J' aime les romans plus que les dessins animés .,1
1273,"J' apprécie la techno , un type intéressant de collier .",0
3742,J' aime les bouleaux plus que les buissons .,1
1089,"J' adore les arbustes , un type intéressant de sapin .",0
4248,J' aime les animaux de compagnie plus que les lapins .,0
4568,"Je peux comprendre les émotions , sauf les calculs .",0
