ID,Sentence,Labels
H0,"I like socks , except anklets .",1
H1,"I like ducks , except anklets .",0
H2,"I like socks , except argyles .",1
H3,"I like bulldogs , except argyles .",0
H4,"I like socks , except athletic socks .",1
H5,"I like hamsters , except athletic socks .",0
H6,"I like socks , except knee-highs .",1
H7,"I like salmon , except knee-highs .",0
H8,"I like salmon , except Atlantic salmon .",1
H9,"I like chairs , except Atlantic salmon .",0
H10,"I like salmon , except blackfish .",1
H11,"I like rabbits , except blackfish .",0
H12,"I like salmon , except chinooks .",1
H13,"I like oaks , except chinooks .",0
H14,"I like salmon , except chum salmon .",1
H15,"I like textbooks , except chum salmon .",0
H16,"I like earrings , except pendant earrings .",1
H17,"I like comedies , except pendant earrings .",0
H18,"I like necklaces , except chains .",1
H19,"I like fear , except chains .",0
H20,"I like necklaces , except chokers .",1
H21,"I like joy , except chokers .",0
H22,"I like oysters , except bluepoints .",1
H23,"I like rabbits , except bluepoints .",0
H24,"I like oysters , except Japanese oysters .",1
H25,"I like shirts , except Japanese oysters .",0
H26,"I like oysters , except pearl oysters .",1
H27,"I like westerns , except pearl oysters .",0
H28,"I like oysters , except saddle oysters .",1
H29,"I like handbooks , except saddle oysters .",0
H30,"I like essays , except compositions .",1
H31,"I like shirts , except compositions .",0
H32,"I like essays , except disquisitions .",1
H33,"I like oysters , except disquisitions .",0
H34,"I like essays , except memoirs .",1
H35,"I like cats , except memoirs .",0
H36,"I like essays , except thanatopses .",1
H37,"I like caviar , except thanatopses .",0
H38,"I like fear , except alarms .",1
H39,"I like ham , except alarms .",0
H40,"I like fear , except apprehensions .",1
H41,"I like oaks , except apprehensions .",0
H42,"I like fear , except creeps .",1
H43,"I like ham , except creeps .",0
H44,"I like fear , except frissons .",1
H45,"I like comedies , except frissons .",0
H46,"I like hamsters , except Eurasian hamsters .",1
H47,"I like blackbirds , except Eurasian hamsters .",0
H48,"I like hamsters , except golden hamsters .",1
H49,"I like sparrows , except golden hamsters .",0
H50,"I like joy , except elations .",1
H51,"I like beds , except elations .",0
H52,"I like joy , except exhilarations .",1
H53,"I like ducks , except exhilarations .",0
H54,"I like joy , except exuberances .",1
H55,"I like salmon , except exuberances .",0
H56,"I like joy , except exultations .",1
H57,"I like ham , except exultations .",0
H58,"I like bulldogs , except French bulldogs .",1
H59,"I like essays , except French bulldogs .",0
H60,"I like sadness , except cheerlessness .",1
H61,"I like essays , except cheerlessness .",0
H62,"I like sadness , except depressions .",1
H63,"I like bacon , except depressions .",0
H64,"I like sadness , except dolefulness .",1
H65,"I like fear , except dolefulness .",0
H66,"I like sadness , except downheartedness .",1
H67,"I like oysters , except downheartedness .",0
H68,"I like pines , except ancient pines .",1
H69,"I like love , except ancient pines .",0
H70,"I like pines , except black pines .",1
H71,"I like trousers , except black pines .",0
H72,"I like pines , except bristlecone pines .",1
H73,"I like shirts , except bristlecone pines .",0
H74,"I like pines , except jack pines .",1
H75,"I like novels , except jack pines .",0
H76,"I like rabbits , except Angoras .",1
H77,"I like essays , except Angoras .",0
H78,"I like rabbits , except Belgian hares .",1
H79,"I like bulldogs , except Belgian hares .",0
H80,"I like rabbits , except bunnies .",1
H81,"I like socks , except bunnies .",0
H82,"I like rabbits , except European rabbits .",1
H83,"I like pines , except European rabbits .",0
H84,"I like novels , except detective novels .",1
H85,"I like sadness , except detective novels .",0
H86,"I like novels , except dime novels .",1
H87,"I like pines , except dime novels .",0
H88,"I like novels , except novelettes .",1
H89,"I like blues , except novelettes .",0
H90,"I like novels , except roman a clefs .",1
H91,"I like parrots , except roman a clefs .",0
H92,"I like textbooks , except crammers .",1
H93,"I like socks , except crammers .",0
H94,"I like textbooks , except introductions .",1
H95,"I like wardrobes , except introductions .",0
H96,"I like textbooks , except primers .",1
H97,"I like wardrobes , except primers .",0
H98,"I like textbooks , except readers .",1
H99,"I like bacon , except readers .",0
H100,"I like beds , except berths .",1
