id,sentence,labels
word-1,"I enjoy vexation , which is a kind of temper .",0
word-2,"He enjoy emotion , less generally conniption .",1
word-3,"He love joyousness , however not euphory .",1
word-4,I would choose dread over gloom .,0
word-5,Love is a subtype of worship .,0
word-6,"He trust self-distrust and , in general , unassertiveness .",0
word-7,"He like fright and , to generalize , timidity .",0
word-8,"They like hate , an interesting type of aggression .",0
word-9,"They enjoy timidness in general , but hesitance are my favourite .",1
word-10,Emotion is her favorite type of apprehensiveness .,0
word-11,"She feel emotion and , to generalize , presage .",0
word-12,Fear is her favourite type of scare .,0
word-13,Fear is a subclass of affright .,0
word-14,"They enjoy resentment and , in general , score .",0
word-15,Emotion is my favorite type of loyalty .,0
word-16,"She do not love premonition , but she love shadow .",1
word-17,"She love rancour , except green-eyed monster .",1
word-18,"They like emotion , which is a kind of abhorrence .",0
word-19,"I love malevolence and , in general , vindictiveness .",0
word-20,They feel love to a greater extent than crush .,0
word-21,"They feel embarrassment in general , but uneasiness are my favourite .",1
word-22,"I love anger , an example of short temper .",0
word-23,Emotion is her favorite type of dismay .,0
word-24,"They trust fearfulness , but more so gloom .",0
word-25,They feel both ire and scene .,0
word-26,"He feel anger , an interesting type of harassment .",0
word-27,"While he trust fear , he do not trust self-doubt .",1
word-28,She like emotion while she do not like amorousness .,1
word-29,"She like hatred , though she do not like misology .",1
word-30,"He like emotion in general , but insecurity are my favorite .",1
word-31,"In addition to fearfulness, I like frisson .",0
word-32,"She like fearfulness and , to generalize , shudder .",0
word-33,"If ill will did not exist , then aggression would not exist either .",1
word-34,"He enjoy apprehension and , in general , trepidation .",0
word-35,"Though they trust emotion , they do not trust thrill .",1
word-36,"She trust emotion , but above all , satisfaction .",0
word-37,"He trust fear , which is a kind of frisson .",0
word-38,"She feel bitterness , which is an example of score .",0
word-39,"In addition to dread, she enjoy pall .",0
word-40,"He enjoy emotion , and moreover , he enjoy quiver .",0
word-41,"He love hatred , but his liking for loathing is greater .",0
word-42,"While she feel emotion , she do not feel grudge .",1
word-43,Sadness is a subtype of gloom .,0
word-44,"She like anger , an interesting type of hackles .",0
word-45,"He feel indignation , an interesting type of dudgeon .",0
word-46,He feel ill will and additionally sulkiness .,0
word-47,Emotion is my favourite type of bereavement .,0
word-48,"He feel scene , but on the contrary , he do not feel shadow .",1
word-49,He prefer joy over exuberance .,0
word-50,They trust emotion and belligerence .,0
word-51,He feel emotion while he do not feel somberness .,1
word-52,"I enjoy emotion , but my appreciation of rapture is greater .",0
word-53,"I feel malevolence , and to be more specific maleficence .",1
word-54,"She trust joyousness in general , but elation are my favourite .",1
word-55,"She love diffidence and , to generalize , hesitance .",0
word-56,"I enjoy rancor , however not enviousness .",1
word-57,"He trust emotion , an example of boding .",0
word-58,"I like fearfulness , which is an example of affright .",0
word-59,Joyfulness is a subtype of jubilance .,0
word-60,"I trust anger , yet I do not trust harassment .",1
word-61,"I love emotion , but even more so joyousness .",0
word-62,"They do not enjoy fear , but on the contrary , they enjoy tingle .",1
word-63,"Apart from bitterness, she like green-eyed monster .",0
word-64,"Although he like emotion , he do not like satisfaction .",1
word-65,"She do not like fearfulness , she prefer shiver .",0
word-66,She feel joyfulness and moreover titillation .,0
word-67,Fear is a subclass of stage fright .,0
word-68,"They like bad temper , and to be more specific fit .",1
word-69,I like joyousness as well as triumph .,0
word-70,He would choose ire over aggravation .,0
word-71,"He enjoy hate , but most of all venom .",1
word-72,"They trust joy and , to generalize , jubilation .",0
word-73,"He feel emotion , however not chill .",1
word-74,Inquietude is a subclass of willies .,0
word-75,I enjoy apprehensiveness and additionally gloominess .,0
word-76,I would choose hatred over covetousness .,0
word-77,"They love fear , but their liking for intimidation is greater .",0
word-78,"They feel fear , but hesitancy are their favourite .",0
word-79,"They enjoy emotion , but their liking for animus is greater .",0
word-80,"She enjoy fear and , in general , timorousness .",0
word-81,"I love emotion and , broadly speaking , enmity .",0
word-82,They trust excitement and additionally intoxication .,0
word-83,"Although she feel excitement , she do not feel titillation .",1
word-84,"He love love , and moreover , he love infatuation .",0
word-85,"I do not enjoy emotion , I prefer short temper .",0
word-86,"I feel anger , which is an example of fit .",0
word-87,She enjoy not only dread but also boding .,0
word-88,"He feel anxiety , however not panic .",1
word-89,I feel ire more than aggravation .,0
word-90,"I enjoy joy , and narrowing it down , euphory .",1
word-91,"He enjoy emotion , but even more discomfiture .",0
word-92,"He love ill will , but even more so warpath .",0
word-93,Fright is their favorite type of gloominess .,0
word-94,"I love hate , but my liking for despisal is greater .",0
word-95,"She trust hatred , but ill will are her favourite .",0
word-96,"She love fearfulness , and moreover , she love presentiment .",0
word-97,"More than emotion, they trust venom .",0
word-98,"I enjoy ill temper , an example of short temper .",0
word-99,"Apart from ill will, he like enviousness .",0
word-100,"If sorrow did not exist , then sorrowfulness would not exist either .",1
word-101,"She feel rancor in general , but grievance are my favorite .",1
word-102,"He enjoy rancor , and particularly huffishness .",1
word-103,"They love boding , but most of all presage .",1
word-104,"He like emotion , however he do not like pique .",1
word-105,"She like excitement , but her appreciation of flush is greater .",0
word-106,"I feel joyfulness , and narrowing it down , flush .",1
word-107,"I do not trust joyfulness , but on the contrary , I trust kick .",1
word-108,"He enjoy hate and , to generalise , resentment .",0
word-109,"She love enviousness , which is a type of jealousy .",0
word-110,"Apart from ire, she trust ill temper .",0
word-111,He feel fear and moreover terror .,0
word-112,"He do not enjoy fear , he prefer panic attack .",0
word-113,"I feel anger , which is a kind of umbrage .",0
word-114,"They trust hate , but even more antagonism .",0
word-115,"They do not love vexation , but they love exasperation .",1
word-116,"She enjoy ill temper , which is a kind of fit .",0
word-117,"He feel emotion , but adoration are his favourite .",0
word-118,He enjoy hate to a greater extent than resentment .,0
word-119,"They enjoy anger , yet they do not enjoy infuriation .",1
word-120,"They love joyousness , though they do not love thrill .",1
word-121,He would pick hatred over bitterness .,0
word-122,"She like exhilaration , but on the contrary , she do not like rush .",1
word-123,"She feel emotion , but even more so exuberance .",0
word-124,"In addition to indignation, they feel high dudgeon .",0
word-125,She trust self-distrust as well as hesitancy .,0
word-126,"Apart from ill will, they enjoy heartburning .",0
word-127,"Though they like emotion , they do not like rush .",1
word-128,"They feel fear , though they do not feel timidity .",1
word-129,"She trust unhappiness , but most of all sorrowfulness .",1
word-130,"They feel ill will , and especially resentment .",1
word-131,Emotion is a subclass of jubilation .,0
word-132,They like sadness and additionally sombreness .,0
word-133,"If fright did not exist , then presage would not exist either .",1
