id,sentence,labels
Hpm0,"I like polyester , but not polyester fibers .",1
Hpm0-pegaus-0,"I like both types of fibers, but not the other way around.",1
Hpm0-pegaus-1,"I like both types of fibers, but not both of them.",1
Hpm1,"I like bacteriologists , but not polyester fibers .",1
Hpm1-pegaus-0,"I like bacteriologists, but not polyester fibers.",1
Hpm1-pegaus-1,"I like bacteriologists, but not the type of fibers.",1
Hpm2,"I like polyester fibers , but not polyester .",0
Hpm2-pegaus-0,"I like the look of polyester fibers, but not the substance.",0
Hpm2-pegaus-1,"I like nylon, but not polyester.",0
Hpm3,"I like biologists , but not bacteriologists .",1
Hpm3-pegaus-0,"I like biologists, but not bacteriologists.",1
Hpm3-pegaus-1,I like biologists but not bacteriologists.,1
Hpm3-pegaus-2,"I don't like bacteriologists, but I like biologists.",1
Hpm3-pegaus-3,I don't like bacteriologists but I like biologists.,1
Hpm3-pegaus-4,"I don't like bacteriologists, but I do like biologists.",1
Hpm3-pegaus-5,I don't like bacteriologists but I do like biologists.,1
Hpm4,"I like cytologists , but not bacteriologists .",1
Hpm4-pegaus-0,I don't like bacteriologists but I like cytologists.,1
Hpm4-pegaus-1,"I don't like bacteriologists, but I like cytologists.",1
Hpm4-pegaus-2,"I don't like bacteriologists, but I do like cytologists.",1
Hpm4-pegaus-3,I don't like bacteriologists but I do like cytologists.,1
Hpm4-pegaus-4,I don't like bacteriologists but I am a fan of cytologists.,1
Hpm5,"I like bacteriologists , but not biologists .",0
Hpm5-pegaus-0,"I like bacteriologists, but not biologists.",0
Hpm5-pegaus-1,I like bacteriologists but not biologists.,0
Hpm5-pegaus-2,I don't like biologists but I like bacteriologists.,0
Hpm5-pegaus-3,I don't like biologists but I do like bacteriologists.,0
Hpm5-pegaus-4,"I don't like biologists, but I like bacteriologists.",0
Hpm5-pegaus-5,"I don't like biologists, but I do like bacteriologists.",0
Hpm6,"I like biologists , but not botanists .",1
Hpm6-pegaus-0,"I like biologists, but not botanists.",1
Hpm6-pegaus-1,I like biologists but not botanists.,1
Hpm6-pegaus-2,"I don't like botanists, but I like biologists.",1
Hpm6-pegaus-3,I don't like botanists but I like biologists.,1
