id,sentence,labels
4559,"Posso capire le emozioni , eccetto la saggezza .",0
1653,"Amo il cinema , un tipo interessante di saggio .",0
4139,Amo le commedie più dei saggi .,1
4539,"Si fida dei notiziari , eccetto che del tatto .",0
2944,"Non amo i tavoli , preferisco il parquet .",1
3701,Amo i gioielli più delle calze .,1
2816,"Non amo le calze , preferisco i vestiti .",0
3683,Amo le camicie più degli orecchini .,1
2777,"Non amo gli aeroplani , preferisco gli enduro .",1
2955,"Non amo il parquet , preferisco i guardaroba .",1
1603,"Posso capire le emozioni , un tipo interessante di calcolo .",0
1218,"Apprezzo il Chianti , un tipo interessante di acqua .",0
4012,Amo le mele più del prosciutto cotto .,1
857,"Apprezzo il Chianti , eccetto la sprite .",0
1619,"Posso capire la stupidità , un tipo interessante di amore .",0
3571,Amo i bulldog più dei pappagalli .,1
2659,"Non amo gli husky , preferisco i cani .",0
1629,"Posso capire la stupidità , un tipo interessante di tristezza .",0
3240,"Non amo i gioielli , preferisco gli anelli .",0
3232,"Adoro i prodotti del mare , eccetto il manzo .",0
3291,"Adoro i granchi , eccetto il pollo .",0
2949,"Non amo i mobili , preferisco i guardaroba .",0
3530,"Adoro il manzo , eccetto le ostriche .",0
1251,"Apprezzo il jazz , un tipo interessante di sport .",0
3826,Apprezzo le sedie più dei mobili .,0
863,"Apprezzo il Primitivo , eccetto il vino .",0
4403,Amo i libri più dei romanzi .,0
3828,Apprezzo i mobili più delle posate .,1
3729,"Amo i thriller , eccetto i saggi .",0
2302,"Adoro il maiale , eccetto il prosciutto .",1
5761,"Amo le scarpe , eccetto le camicie .",0
1301,"Adoro il maiale , un tipo interessante di prosciutto cotto .",0
1181,"Apprezzo le posate , un tipo interessante di letto .",0
2693,"Non amo i bassotti , preferisco i cani .",0
4374,Posso capire la tristezza più dei calcoli .,1
1361,"Apprezzo gli sport , eccetto la techno .",0
3304,"Non si fida dei sensi , preferisce i notiziari .",1
3750,Amo l' erba più degli abeti .,1
4291,Si fida dei sensi più che delle congetture .,1
3415,"Non amo i romanzi , preferisco i libri .",0
4287,Si fida delle ricostruzioni più che della vista .,1
3886,Apprezzo lo Chardonnay più della coca cola .,1
1049,"Amo le gonne , un tipo interessante di gioielli .",0
791,"Amo gli uccelli , eccetto i pappagalli .",1
462,"Adoro l' erba , eccetto le querce .",0
1325,"Adoro il pesce , un tipo interessante di bacon .",0
1068,"Adoro gli arbusti , un tipo interessante di quercia .",0
4248,Amo gli animali domestici più dei conigli .,0
4073,Amo il pollo più dei granchi .,1
3118,"Non amo i prodotti del mare , preferisco i granchi .",0
4019,Amo il pesce più del prosciutto .,1
3657,Amo le biciclette più degli enduro .,1
3214,"Adoro il manzo , eccetto il salmone .",0
4006,Amo il maiale più del pesce .,1
5235,"Amo i treni , eccetto gli enduro .",0
1479,"Amo i gioielli , un tipo interessante di orecchino .",0
4621,"Amo i saggi , eccetto i cartoni animati .",0
4961,"Amo le biciclette , eccetto le Harley-Davidson .",0
1280,"Apprezzo la musica , un tipo interessante di blues .",0
2698,"Non amo i pappagalli , preferisco i bassotti .",1
992,"Amo le moto , un tipo interessante di enduro .",0
4275,"Amo le meduse , eccetto i conigli .",0
3978,Apprezzo il blues più del cibo .,1
4172,Amo i braccialetti più delle sciarpe .,1
3727,Amo le querce più degli arbusti .,1
4264,Amo i criceti più delle meduse .,1
1369,"Apprezzo la musica , eccetto la techno .",1
2951,"Non amo i dipinti , preferisco i guardaroba .",1
1611,"Posso capire la logica , un tipo interessante di paura .",0
4186,Amo le collane più dei gioielli .,0
3861,Apprezzo il parquet più dei guardaroba .,1
3391,"Non amo i sussidiari , preferisco i libri .",0
1147,"Apprezzo le sedie , un tipo interessante di mobili .",1
954,"Amo i passeri , un tipo interessante di uccello .",1
3613,Amo i criceti più dei merli .,1
3736,Amo l' erba più delle betulle .,1
3023,"Non amo il rock , preferisco i gioielli .",1
2974,"Non amo il Merlot , preferisco la sprite .",1
2844,"Non amo gli alberi , preferisco i cespugli .",1
717,"Adoro i pini , eccetto gli animali .",0
3060,"Non amo il maiale , preferisco il prosciutto cotto .",0
1613,"Posso capire i calcoli , un tipo interessante di paura .",0
