id,sentence,labels
2256,"J' aime la dinde , et aussi les huîtres .",1
4715,"J' ai rencontré les astronomes , sauf les greffiers .",0
102,"J' apprécie les armoires , et plus particulièrement les peintures .",0
3354,"Il n' aime pas les émotions , il préfère la logique .",1
0,"J' aime les pantalons , sauf les chaussures .",0
1181,"J' apprécie les couverts , un type intéressant de lit .",0
1264,"J' apprécie les jeux de société , sauf le rock .",0
4797,"J' aime les canards , mais pas les chats .",1
2745,"Je n' aime pas les navaires , je préfère les Harley-Davidson .",1
2543,"J' aime les peintures , et aussi les romans .",1
227,"J' adore le jambon , et plus particulièrement le poisson .",0
634,"J' ai rencontré les bureaux , et plus particulièrement les serveurs .",0
3400,"Je n' aime pas les manuels scolaires , je préfère les peintures .",1
315,"J' aime les huskies , sauf les perrouquets .",0
56,"J' utilise le vinyle , et plus particulièrement le plastique .",0
3391,"Je n' aime pas les manuels scolaires , je préfère les livres .",0
150,"J' apprécie le Chianti , et plus particulièrement le vin .",0
2631,"J' ai rencontré les astronomes , et aussi les concierges .",1
4653,"J' aime les greffiers , sauf les écoles .",0
4508,"J' aime les huskies , sauf les chiens .",0
4685,"J' aime les restaurants , sauf les professeurs .",0
2244,"J' aime le veau , et aussi les crabes .",1
362,"J' aime les bracelets , et plus particulièrement les bijoux .",0
5366,"J' aime les Kawasakis , sauf les motos .",0
790,"J' apprécie les peintures , sauf les tables .",0
5449,"Je peux comprendre les calculs , mais pas la joie .",1
5476,"Je peux comprendre la stupidité , mais pas la tristesse .",1
1560,"Il fait confiance à son odorat , un type intéressant de son sens .",1
3757,J' aime les buissons plus que les sapins .,1
1315,"J' adore le prosciutto , un type intéressant de porc .",1
5222,"J' adore les crabes , mais pas le veau .",1
5678,"J' aime les chats , et plus particulièrement les canards .",0
5342,"J' aime les chats , mais pas les animaux de compagnie .",0
358,"J' aime les documentaires , et plus particulièrement les jeux vidéo .",0
4718,"J' ai rencontré les scientifiques , sauf les astronomes .",1
3216,"Je n' aime pas les colliers , je préfère les sacs à main .",1
3248,"Je n' aime pas les giraffes , je préfère les chats .",1
1872,"J' aime les motos , et aussi les avions .",1
1268,"J' apprécie la musique , un type intéressant de techno .",0
2775,"Je n' aime pas les trains , je préfère les enduros .",1
3598,J' aime les canards plus que les chats .,1
5310,"J' aime les colliers , mais pas les sacs à main .",1
2277,"J' aime les thrillers , et aussi les jeux de société .",1
5503,"J' aime les dessins animés , mais pas les essais .",1
2121,"J' apprécie le Cabernet Sauvignon , et aussi la bière .",1
1764,"J' ai rencontré les physiciens , un type intéressant de gardien .",0
3675,J' aime les vêtements plus que les chemises .,0
1687,"J' aime les travailleurs , un type intéressant de restaurant .",0
3187,"Je n' aime pas les comédies , je préfère les jeux vidéo .",1
258,"J' adore les pommes , et plus particulièrement le bacon .",0
5458,"Je peux comprendre la logique , mais pas la peur .",1
292,"J' adore la dinde , et plus particulièrement les crabes .",0
2423,"Il fait confiance aux suppositions , et aussi sa vision .",1
4646,"J' aime les usines , sauf les greffiers .",0
2270,"J' aime les essais , et aussi les thrillers .",1
2310,"J' aime les films , et aussi les documentaires .",0
925,"J' aime les oiseaux , un type intéressant de hamster .",0
86,"J' apprécie le parquet , et plus particulièrement les chaises .",0
1898,"J' aime les vélos , et aussi les Kawasakis .",1
3894,J' apprécie le Chardonnay plus que la bière .,1
3349,"Il n' aime pas la stupidité , il préfère la joie .",1
989,"J' aime les enduros , un type intéressant de navaire .",0
2245,"J' aime les crabes , et aussi la dinde .",1
2615,"J' ai rencontré les généticiens , et aussi les scientifiques .",0
4874,"J' aime les bijoux , mais pas les chemises .",1
839,"J' aime les lapins , sauf les huskies .",0
5374,"J' aime les méduses , mais pas les lapins .",1
1305,"J' adore le porc , un type intéressant de brocoli .",0
618,"J' ai rencontré les écoles , et plus particulièrement les greffiers .",0
780,"J' apprécie le parquet , sauf les chaises .",0
1767,"J' ai rencontré les concierges , un type intéressant de physicien .",0
1505,"J' aime les animaux de compagnie , un type intéressant d' ours .",0
5835,"J' aime les bouleaux , et plus particulièrement les arbustes .",0
5607,"J' ai rencontré les physiciens , mais pas les scientifiques .",0
1843,"J' aime les merles , et aussi les hamsters .",1
341,"J' aime les essais , et plus particulièrement les comédies .",0
1232,"J' apprécie le Cabernet Sauvignon , un type intéressant de bière .",0
1599,"Je peux comprendre les émotions , un type intéressant de logique .",0
4371,Je peux comprendre la stupidité plus que la tristesse .,1
4725,"J' ai rencontré les physiciens , sauf les greffiers .",0
2336,"J' aime les bijoux , et aussi les colliers .",0
1464,"J' apprécie le blues , sauf les aliments .",0
3133,"Je n' aime pas les huîtres , je préfère le boeuf .",1
4639,"J' aime les manuels , sauf le cinéma .",0
2603,"J' ai rencontré les scientifiques , et aussi les greffiers .",1
2664,"Je n' aime pas les chiens , je préfère les hamsters .",1
823,"J' aime les oiseaux , sauf les cochons .",0
36,"J' utilise le plastique , et plus particulièrement le verre .",0
4522,"Il fait confiance à ses sens , sauf les suppositions .",0
3119,"Je n' aime pas les crabes , je préfère le veau .",1
