word-1,"i feel hatred , yet i do not feel misogynism .",1
word-2,"in addition to hatred , he love enmity .",0
word-3,joyfulness be their favorite type of charge .,0
word-4,"while they like emotional state , they do not like embarrassment .",1
word-5,"apart from apprehensiveness , i like presentiment .",0
word-6,"she love emotion , but most of all huffiness .",1
word-7,"they like hatred , and in particular gall .",1
word-8,"i feel emotion , an example of gratification .",0
word-9,"i like emotion , which be an example of misology .",0
word-10,"she love hatred , and moreover , she love despise .",0
word-11,"he do not like emotion , he prefer shudder .",0
word-12,"they love joyfulness , but more so elation .",0
word-13,"they love emotion , an example of suspense .",0
word-14,"i like emotion and , more generally , maleficence .",0
word-15,"in addition to resentment , i feel jealousy .",0
word-16,"she enjoy emotion , and bode too .",0
word-17,"more than rancour , he love score .",0
word-18,they prefer excitement over boot .,0
word-19,"he feel emotion , an interesting type of conditioned emotional response .",0
word-20,"he feel emotion , yet he do not feel maleficence .",1
word-21,she would pick emotion over enragement .,0
word-22,"he love fright , and moreover , he love creep .",0
word-23,"she trust emotion , although she do not trust bitterness .",1
word-24,"he feel ire , but even more short temper .",0
word-25,"they trust dread and , in general , somberness .",0
word-26,"she like emotion , and awe too .",0
word-27,"she feel emotion , except panic .",1
word-28,"she feel joy in general , but titillation be my favorite .",1
word-29,emotion be a subclass of misopedia .,0
word-30,"he feel love , but even more enamoredness .",0
word-31,he enjoy both emotion and scruple .,0
word-32,i would pick ire over exasperation .,0
word-33,"they trust emotion , less generally blessedness .",1
word-34,"she love joyfulness , and particularly jubilancy .",1
word-35,"i love ill temper , but conniption be my favourite .",0
word-36,"she do not like hate , but she like resentment .",1
word-37,they trust apprehensiveness more than gloom .,0
word-38,"in addition to enviousness , she enjoy green-eyed monster .",0
word-39,"she love emotion , although she do not love suspense .",1
word-40,"i love affright and , to generalize , swivet .",0
word-41,"he trust emotion in general , but sink be my favourite .",1
word-42,they trust emotion and additionally hackle .,0
word-43,"she like hatred and , to generalize , misopedia .",0
word-44,i feel timidity and moreover unassertiveness .,0
word-45,"in addition to emotional state , he feel ecstasy .",0
word-46,"she do not trust emotion , she prefer aggression .",0
word-47,"he like ire , but displeasure be his favourite .",0
word-48,"i trust emotion , and narrow it down , reverence .",1
word-49,"i like ill will , but i do not like enviousness .",1
word-50,"while they love fearfulness , they do not love creep .",1
word-51,"she enjoy sorrowfulness , but even more so poignancy .",0
word-52,"he love love , but his appreciation of adoration be greater .",0
word-53,"she enjoy hatred , but more so maleficence .",0
word-54,emotion be my favourite type of offense .,0
word-55,"they enjoy hatred , but most of all ill will .",1
word-56,"she love joyousness , however she do not love euphory .",1
word-57,"i trust hatred , yet i do not trust hostility .",1
word-58,"i like joyfulness and , to generalise , rush .",0
word-59,"she love caring , however not warmheartedness .",1
word-60,hatred be his favourite type of maliciousness .,0
word-61,"i enjoy emotion , but state be my favorite .",0
word-62,"she like hate in general , but abomination be my favorite .",1
word-63,i feel not only fearfulness but also cold foot .,0
word-64,"she feel ire , though she do not feel high dudgeon .",1
word-65,"she feel ire , however she do not feel aggravation .",1
word-66,"i trust emotion , an example of boot .",0
word-67,ill will be my favourite type of belligerency .,0
word-68,"they love emotion , but animosity be their favourite .",0
word-69,they would pick happiness over blessedness .,0
word-70,"he enjoy fearfulness , although he do not enjoy presage .",1
word-71,love be his favorite type of caring .,0
word-72,"she trust emotion , although she do not trust affright .",1
word-73,"they do not feel sadness , but they feel gloominess .",1
word-74,"they enjoy emotion , and gratification too .",0
word-75,"i feel emotion , and narrow it down , premonition .",1
word-76,"he trust unhappiness , and moreover , he trust sorrowfulness .",0
word-77,"he trust ire , and especially short temper .",1
word-78,"he love fright , except panic .",1
word-79,they enjoy joyfulness and moreover elation .,0
word-80,"he feel emotion , and particularly worship .",1
word-81,"i feel fright , but i do not feel trepidation .",1
word-82,"he like joy in general , but exultation be my favorite .",1
word-83,"she love emotion , but her liking for odium be greater .",0
word-84,"he enjoy emotional state , but he do not enjoy ecstasy .",1
word-85,"she enjoy apprehensiveness , though she do not enjoy trepidation .",1
word-86,they feel hatred while they do not feel warpath .,1
word-87,"she like love , yet she do not like benevolence .",1
word-88,"she trust emotion , and narrow it down , bad temper .",1
word-89,i like both timorousness and shyness .,0
word-90,he love enviousness more than jealousy .,0
word-91,i trust joy and moreover kick .,0
word-92,i trust not only anxiety but also scare .,0
word-93,he love excitement while he do not love boot .,1
