id,sentence,labels
1559-0,"He trusts rumors , an interesting type of hearing .",0
1559-1,"He listens to rumors, an interesting type of hearing.",0
1559-2,"He listens to rumors, which is an interesting type of hearing.",0
1559-3,"He listens to rumors, it's an interesting type of hearing.",0
1559-4,"He listens to rumors, it is an interesting type of hearing.",0
1559-5,He listens to rumors and it is an interesting type of hearing.,0
1559-6,Rumors are an interesting type of hearing that he trusts.,0
1559-7,"He trusts rumors, which is an interesting type of hearing.",0
1559-8,"He listens to rumors, which is an interesting kind of hearing.",0
1559-9,"He listens to rumors, an interesting type of Hearing.",0
1559-10,"He listens to rumors, it's an interesting way to hear them.",0
4113-0,I like essays more than thrillers .,1
4113-1,"I like essays more than thrillers, that's for sure.",1
4113-2,"I like essays more than thrillers, that's what I like.",1
4113-3,"I like essays more than thrillers, that's why.",1
4113-4,"I like essays more than thrillers, I like them more than thrillers.",1
4113-5,"I like essays more than thrillers, I like essays more than thrillers.",1
4113-6,"I like essays more than thrillers, and I like them more than thrillers.",1
4113-7,"I like essays more than thrillers, I like them more.",1
4113-8,"I like essays more than thrillers, that's for certain.",1
4113-9,"I like essays more than thrillers, that's what I think.",1
4113-10,"I like essays more than thrillers, that's how I like them.",1
959-0,"I like pigs , an interesting type of sparrow .",0
959-1,"I like pigs, a type of sparrow that I like.",0
783-0,"I like cats , except parrots .",0
204-0,"I like skirts , except earrings .",0
2951-0,"I do not like paintings , I prefer wardrobes .",1
2951-1,I don't like paintings and I prefer the wardrobe.,1
2951-2,I don't like paintings and prefer the wardrobe.,1
2951-3,I don't like paintings and I prefer a wardrobe.,1
2951-4,I don't like paintings and I prefer the wardrobes.,1
2951-5,I don't like painting and I prefer the wardrobe.,1
2951-6,I don't like paintings and I like the wardrobe.,1
2951-7,"I don't like paintings, and I prefer the wardrobe.",1
2951-8,"I don't like painting, and I prefer the wardrobe.",1
2951-9,"I don't like paintings, and I prefer the wardrobes.",1
2951-10,"I don't like paintings, and I prefer a wardrobe.",1
931-0,"I like ducks , an interesting type of cat .",0
931-1,ducks are an interesting type of cat that I like.,0
931-2,"ducks are an interesting type of cat, I like them.",0
931-3,ducks are an interesting type of cat that I enjoy.,0
931-4,"ducks are an interesting type of cat, that I like.",0
931-5,The ducks are an interesting type of cat that I like.,0
931-6,"I like ducks, a type of cat that is interesting.",0
931-7,"I like ducks, an interesting type of cat.",0
931-8,The ducks are an interesting type of cat that I enjoy.,0
931-9,"ducks are an interesting type of cat, I like them very much.",0
931-10,"ducks are an interesting type of cat, I like them a lot.",0
1365-0,"I like crabs , an interesting type of seafood .",1
1365-1,"I like crabs, they're an interesting type of seafood.",1
1365-2,Crabs are an interesting type of seafood that I like.,1
1365-3,Crabs are an interesting type of seafood and I like them.,1
1365-4,Crabs are an interesting type of seafood that I enjoy.,1
1365-5,Crabs are an interesting type of seafood and I like to eat them.,1
1365-6,Crabs are an interesting type of seafood that I like to eat.,1
1365-7,"Crabs are an interesting type of seafood, I like them.",1
1365-8,"Crabs are an interesting type of seafood, and I like them.",1
1365-9,Crabs are an interesting type of seafood and I enjoy them.,1
1365-10,"Crabs are an interesting type of seafood, and I like to eat them.",1
3948-0,I like jewelry more than rock .,1
2733-0,"I do not like dogs , I prefer blackbirds .",1
2733-1,"I prefer blackbirds, I don't like dogs.",1
2733-2,I don't like dogs and I like blackbirds.,1
2733-3,I don't like dogs and I prefer blackbirds.,1
2733-4,"I prefer blackbirds, I do not like dogs.",1
2733-5,I don't like dogs and prefer blackbirds.,1
2733-6,I don't like dogs and I prefer birds.,1
2733-7,I do not like dogs and I like blackbirds.,1
2733-8,I don't like dogs and I like birds.,1
2733-9,I don't like dogs and I like black birds.,1
2733-10,I don't like dogs and I prefer black birds.,1
3376-0,"He does not like logic , he prefers love .",1
3376-1,He doesn't like logic and he likes love.,1
3376-2,He doesn't like logic and he prefers love.,1
3376-3,He doesn't like logic and prefers love over logic.,1
3376-4,"He doesn't like logic, and he likes love.",1
3376-5,"He doesn't like logic, and he prefers love.",1
3376-6,He doesn't like logic and likes love more than logic.,1
3376-7,He doesn't like logic and he likes love more than logic.,1
3376-8,"He doesn't like logic, and he likes love more than logic.",1
3376-9,He doesn't like logic and he prefers love over logic.,1
3376-10,He doesn't like logic and likes love more.,1
1493-0,"I like scarfs , an interesting type of ring .",0
1493-1,"I like scarfs, an interesting type of ring.",0
1493-2,scarfs are an interesting type of ring that I like.,0
