id,sentence,labels
templ-1,"I love dogs , and especially bulldogs .",1
templ-2,"She love dogs , but bulldogs are her favourite .",0
templ-3,"Although he love dogs , he do not love bulldogs .",1
templ-4,"They love dogs and , more generally , huskies .",0
templ-5,He would pick dogs over bulldogs .,0
templ-6,He love dogs while he do not love bulldogs .,1
templ-7,"She like dogs , but even more bulldogs .",0
templ-8,He like dogs more than bulldogs .,0
templ-9,"I love dogs and , to generalise , bulldogs .",0
templ-10,"He like dogs , and narrowing it down , huskies .",1
templ-11,"She do not love dogs , she prefer huskies .",0
templ-12,Dogs is a subclass of bulldogs .,0
templ-13,He love dogs and bulldogs .,0
templ-14,Dogs is a subtype of huskies .,0
templ-15,Dogs is her favourite type of huskies .,0
templ-16,I like dogs and additionally huskies .,0
templ-17,"He like dogs and , to generalize , bulldogs .",0
templ-18,She like dogs while she do not like bulldogs .,1
templ-19,"They love dogs , yet they do not love huskies .",1
templ-20,"More than dogs, they like bulldogs .",0
templ-21,"I like dogs , but even more huskies .",0
templ-22,"I like dogs , but huskies are my favourite .",0
templ-23,He love not only dogs but also huskies .,0
templ-24,"I love dogs , and to be more specific bulldogs .",1
templ-25,They love dogs and bulldogs .,0
templ-26,"He love dogs , but more so huskies .",0
templ-27,He love dogs and bulldogs .,0
templ-28,They love both dogs and huskies .,0
templ-29,"She like dogs , and narrowing it down , huskies .",1
templ-30,"They like dogs , and to be more specific bulldogs .",1
templ-31,Dogs is his favourite type of bulldogs .,0
templ-32,"While i like dogs , i do not like huskies .",1
templ-33,They prefer dogs over bulldogs .,0
templ-34,"He like dogs , which is a type of bulldogs .",0
templ-35,"I like dogs , and narrowing it down , bulldogs .",1
templ-36,"He love dogs , an interesting type of huskies .",0
templ-37,"She love dogs , which is an example of huskies .",0
templ-38,"She love dogs , which is a type of huskies .",0
templ-39,"I love dogs , which is a type of bulldogs .",0
templ-40,"They love dogs , yet they do not love bulldogs .",1
templ-41,"I love dogs , and especially bulldogs .",1
templ-42,"They love dogs , which is a kind of bulldogs .",0
templ-43,"I like dogs and , to generalize , huskies .",0
templ-44,"She like dogs , except bulldogs .",1
templ-45,I like dogs while i do not like huskies .,1
templ-46,"They like dogs and , in general , huskies .",0
templ-47,"She love dogs and , to generalize , huskies .",0
templ-48,"They love dogs , and narrowing it down , bulldogs .",1
templ-49,"They love dogs , but bulldogs are their favourite .",0
templ-50,"She love dogs , but her appreciation of bulldogs is greater .",0
templ-51,"He love dogs , but above all , huskies .",0
templ-52,"I love dogs , but huskies are my favourite .",0
templ-53,"She love dogs , however she do not love huskies .",1
templ-54,I like dogs as well as bulldogs .,0
templ-55,"Although i like dogs , i do not like bulldogs .",1
templ-56,"I do not love dogs , but i love bulldogs .",1
templ-57,"More than dogs, they love bulldogs .",0
templ-58,"While i like dogs , i do not like huskies .",1
templ-59,I like dogs and huskies .,0
templ-60,He like dogs as well as bulldogs .,0
templ-61,"I love dogs and , to generalise , huskies .",0
templ-62,"In addition to dogs, she like bulldogs .",0
templ-63,"He like dogs , an example of bulldogs .",0
templ-64,"They like dogs , but even more so huskies .",0
templ-65,"I like dogs , although i do not like huskies .",1
templ-66,"They love dogs , but bulldogs are their favorite .",0
templ-67,I love both dogs and huskies .,0
templ-68,She would pick dogs over bulldogs .,0
templ-69,"She like dogs , but her appreciation of huskies is greater .",0
templ-70,"They love dogs , and narrowing it down , bulldogs .",1
templ-71,"I like dogs , which is a type of huskies .",0
templ-72,"She like dogs , but even more bulldogs .",0
templ-73,They love dogs and additionally huskies .,0
templ-74,"She love dogs , less generally huskies .",1
